,Rank (Borda),Model,Zero-shot,Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Retrieval,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
0,1,[gemini-embedding-exp-03-07](https://developers.googleblog.com/en/gemini-embedding-text-model-now-available-gemini-api/),99,Unknown,3072,8192,68.32,59.64,79.28,71.82,54.99,5.18,29.16,83.63,65.58,67.71,79.4
1,2,[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral),99,7B,4096,32768,61.47,54.21,70.34,62.24,51.27,0.94,24.77,80.43,64.37,58.69,74.86
2,3,[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct),-1,7B,3584,32768,62.51,56.0,73.92,61.55,53.36,4.94,25.48,85.13,65.55,60.08,73.98
3,4,[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct),99,560M,1024,514,63.23,55.17,80.13,64.94,51.54,-0.4,22.91,80.86,62.61,57.12,76.81
4,5,[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral),96,7B,4096,32768,60.93,54.0,70.0,60.02,52.57,0.16,24.55,80.29,64.19,59.44,74.79
5,6,[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B),99,7B,4096,4096,60.93,53.83,70.53,61.83,50.48,3.45,22.77,79.94,63.78,58.31,73.33
6,7,[text-multilingual-embedding-002](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),99,Unknown,768,2048,62.13,54.32,70.73,64.64,48.47,4.08,22.8,81.14,61.22,59.68,76.11
7,8,[GritLM-8x7B](https://huggingface.co/GritLM/GritLM-8x7B),99,57B,4096,4096,60.5,53.39,68.17,61.55,50.88,2.44,24.43,79.73,62.61,57.54,73.16
8,9,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),99,7B,4096,32768,60.28,53.18,70.58,60.31,51.39,-0.62,22.2,81.12,63.82,55.75,74.02
9,10,[Cohere-embed-multilingual-v3.0](https://cohere.com/blog/introducing-embed-v3),-1,Unknown,512,Unknown,61.1,53.31,70.5,62.95,47.61,-1.89,22.74,79.88,64.07,59.16,74.8
10,11,[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct),-1,1B,8960,32768,59.47,52.75,62.51,58.32,52.59,0.74,24.02,81.58,62.58,60.78,71.61
11,12,[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large),98,559M,1024,514,60.94,53.0,73.55,62.77,47.24,-3.04,22.36,79.83,61.42,55.1,77.81
12,13,[text-embedding-3-large](https://openai.com/index/new-embedding-models-and-api-updates/),-1,Unknown,3072,8191,58.92,51.48,62.17,60.27,47.49,-2.68,22.03,79.17,63.89,59.27,71.68
13,14,[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R),96,7B,4096,32768,59.84,52.91,68.84,59.01,54.33,-1.8,25.19,78.58,63.04,57.93,71.04
14,15,[jasper_en_vision_language_v1](https://huggingface.co/NovaSearch/jasper_en_vision_language_v1),92,1B,8960,131072,,,60.63,,,0.26,22.66,,,55.12,71.5
15,16,[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5),92,1B,8960,131072,56.54,50.01,58.56,56.69,50.21,0.21,21.84,78.47,61.37,52.84,69.91
16,17,[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2),92,7B,4096,32768,56.25,49.64,57.84,57.29,41.38,1.04,18.63,78.94,63.82,56.72,71.1
17,18,[Solon-embeddings-large-0.1](https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1),-1,559M,1024,514,59.63,52.11,76.1,60.84,44.74,-3.48,21.4,78.72,62.02,55.69,72.98
18,19,[KaLM-embedding-multilingual-mini-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1),93,494M,896,512,57.05,50.13,64.77,57.57,46.35,-1.5,20.67,77.7,60.59,54.17,70.84
19,20,[bge-m3](https://huggingface.co/BAAI/bge-m3),98,568M,4096,8194,59.54,52.28,79.11,60.35,41.79,-3.11,20.1,80.76,62.79,54.59,74.12
20,21,[jina-embeddings-v3](https://huggingface.co/jinaai/jina-embeddings-v3),99,572M,1024,8194,58.37,50.75,65.25,58.77,46.4,-1.34,18.38,79.27,57.09,55.76,77.13
21,22,[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base),99,305M,1024,8192,58.03,51.35,71.79,57.17,44.96,-0.74,19.82,80.49,60.72,55.11,72.85
22,23,[bilingual-embedding-base](https://huggingface.co/Lajavaness/bilingual-embedding-base),98,278M,768,514,58.22,50.69,69.98,59.36,45.42,-3.84,20.68,77.44,59.41,52.96,74.84
23,24,[multilingual-e5-large](https://huggingface.co/intfloat/multilingual-e5-large),99,560M,1024,514,58.55,51.33,71.67,59.92,42.87,-3.05,21.3,78.99,62.78,54.08,73.41
