HP_ID,info
HP:0012869,acephalic spermatozoa specimen
HP:0012218,alveolar soft part sarcoma
HP:0008648,"an anteriorly displaced urethral meatus is a congenital condition where the opening of the urethra, the tube that carries urine out of the body, is located on the underside of the penis instead of at the tip."
HP:0004535,anterior cervical hypertrichosis lanugo
HP:0011604,aortopulmonary window malformation
HP:0011604,aortopulmonary window shunt
HP:0025534,"benign corkscrew-like episcleral vessels"""
HP:0025534,"bilateral ocular melanocytosis"""
HP:0030988,bile ducts exhibiting granulomatous cholangitis
HP:0010474,bladder stones manifestation
HP:0030915,brainstem compression due to cerebellar edema
HP:0100757,childhood pancreatic mass: pancreatoblastoma
HP:0011504,chloroquine-induced bull's eye maculopathy
HP:0100883,chorangioma: a benign vascular anomaly in the placenta
HP:0030988,chronic antigen exposure leading to granulomatous cholangitis
HP:0025387,classic pill-rolling tremor
HP:0040317,clinical manifestation: blue urine
HP:0100628,clinically significant esophageal diverticulum
HP:0011761,clinically silent pituitary adenoma
HP:0025534,congenital ocular melanocytosis
HP:0007765,disproportionately deep anterior chamber
HP:0007475,"distinctive features include blistering, erosions, and peeling at birth"
HP:0012219,drug-induced erythema nodosum
HP:0011769,ectopic parathyroid gland location
HP:0011755,ectopic posterior pituitary lobe
HP:0100241,ectopic respiratory mucosa in cutaneous tissue
HP:0025078,electrocardiogram with electrical alternans
HP:0025078,electrocardiographic pattern of electrical alternans
HP:0100296,evident perifascicular muscle fiber atrophy
HP:0100757,extremely rare pancreatic malignancy: pancreatoblastoma
HP:0100610,fetal exposure to maternal hyperphenylalaninemia
HP:0025480,gluteal cleft lipomyelomeningocele
HP:0100883,growth of blood vessels in a hamartomatous fashion in the placenta
HP:0004535,hereditary anterior cervical hypertrichosis
HP:0011761,hormonally silent pituitary adenoma
HP:0007475,"hyperkeratotic scaling in joint flexures, hands, and feet"
HP:0100661,idiopathic trigeminal neuralgia
HP:0012219,immune-mediated dermatosis
HP:0100673,impalpable testes due to vaginal hydrocele
HP:0011555,incomplete right ventricular development with double inlet left ventricle
HP:0012219,infection-associated erythema nodosum
HP:0040313,intermittent oligoarthritis
HP:0100726,kaposi's sarcoma-associated herpesvirus skin manifestations
HP:0100726,kaposi's sarcoma: a multisystem disease driven by hhv8
HP:0008659,medullary cystic disease manifestation
HP:0011572,membranous supravalvular mitral stenosis
HP:0007792,"microsaccadic pursuit refers to rapid, small-magnitude eye movements that occur during attempted fixation or smooth pursuit."
HP:0100661,microvascular trigeminal neuralgia
HP:0100814,mongolian spot observed at birth
HP:0012619,multiple bladder diverticula sacs
HP:0100877,narrow-necked renal diverticulum
