HP:0012869	espécimen de espermatozoide acéfalo
HP:0012218	sarcoma alveolar de partes blandas
HP:0008648	El meato uretral desplazado anteriormente es una afección congénita en la que la abertura de la uretra, el conducto que transporta la orina fuera del cuerpo, se encuentra en la parte inferior del pene en lugar de en la punta.
HP:0004535	hipertricosis cervical anterior lanugo
HP:0011604	malformación de la ventana aortopulmonar
HP:0011604	derivación aortopulmonar
HP:0025534	"vasos epiesclerales benignos en forma de sacacorchos""."
HP:0025534	"bilateral ocular melanocytosis"""
HP:0030988	conductos biliares con colangitis granulomatosa
HP:0010474	manifestación de cálculos en la vejiga
HP:0030915	compresión del tronco encefálico por edema cerebeloso
HP:0100757	masa pancreática infantil: pancreatoblastoma
HP:0011504	maculopatía en ojo de buey inducida por cloroquina
HP:0100883	corangioma: una anomalía vascular benigna en la placenta
HP:0030988	exposición crónica a antígenos que provoca colangitis granulomatosa
HP:0025387	clásico temblor de pastillas
HP:0040317	manifestación clínica: orina azul
HP:0100628	divertículo esofágico clínicamente significativo
HP:0011761	adenoma hipofisario clínicamente silente
HP:0025534	congenital ocular melanocytosis
HP:0007765	cámara anterior desproporcionadamente profunda
HP:0007475	rasgos distintivos: ampollas, erosiones y descamación al nacer
HP:0012219	eritema nodoso inducido por fármacos
HP:0011769	localización de la glándula paratiroides ectópica
HP:0011755	lóbulo pituitario posterior ectópico
HP:0100241	mucosa respiratoria ectópica en tejido cutáneo
HP:0025078	electrocardiograma con alternancias eléctricas
HP:0025078	patrón electrocardiográfico de alternancias eléctricas
HP:0100296	atrofia evidente de las fibras musculares perifasciculares
HP:0100757	neoplasia pancreática extremadamente rara: pancreatoblastoma
HP:0100610	exposición fetal a la hiperfenilalaninemia materna
HP:0025480	hendidura glútea lipomielomeningocele
HP:0100883	crecimiento de vasos sanguíneos de forma hamartomatosa en la placenta
HP:0004535	hipertricosis cervical anterior hereditaria
HP:0011761	adenoma hipofisario hormonalmente silente
HP:0007475	descamación hiperqueratósica en flexuras articulares, manos y pies
HP:0100661	neuralgia idiopática del trigémino
HP:0012219	dermatosis inmunomediada
HP:0100673	testículos impalpables por hidrocele vaginal
HP:0011555	desarrollo incompleto del ventrículo derecho con doble entrada del ventrículo izquierdo
HP:0012219	eritema nodoso asociado a infección
HP:0040313	oligoartritis intermitente
HP:0100726	manifestaciones cutáneas del herpesvirus asociado al sarcoma de kaposi
HP:0100726	sarcoma de kaposi: una enfermedad multisistémica impulsada por el hhv8
HP:0008659	manifestación de la enfermedad quística medular
HP:0011572	estenosis mitral supravalvular membranosa
HP:0007792	El seguimiento microsacádico se refiere a los movimientos oculares rápidos y de pequeña magnitud que se producen durante el intento de fijación o el seguimiento suave.
HP:0100661	neuralgia microvascular del trigémino
HP:0100814	mancha mongola observada al nacer
HP:0012619	divertículos vesicales múltiples
HP:0100877	divertículo renal de cuello estrecho
HP:0100792	signo de nikolsky, positivo
HP:0011761	adenoma hipofisario no funcional
HP:0011572	anillo mitral supravalvular obstructivo
HP:0025274	quiste dermoide ovárico con componentes epidérmicos
HP:0025387	temblor por pastilla de parkinson
HP:0025387	temblor parkinsoniano de pastilla rodante
HP:0100628	condición patológica caracterizada por una bolsa esofágica
HP:0030863	aleteo nasal patológico
HP:0100757	neoplasia pancreática pediátrica específica: pancreatoblastoma
HP:0011608	tronco arterial persistente tipo ii: dos orígenes distintos de la arteria pulmonar
HP:0100883	placental chorangioma mass
HP:0030856	estafiloma posterior debido a alteraciones escleróticas
HP:0100296	atrofia predominante de las fibras musculares perifasciculares
HP:0100610	embarazo complicado por hiperfenilalaninemia materna
HP:0100628	presencia de una bolsa esofágica
HP:0100883	presencia de corangioma en la placenta materna
HP:0008659	presencia de enfermedad renal medular espongiforme
HP:0100005	mesotelioma testicular primario
HP:0100726	nódulos cutáneos de color púrpura, azul rojizo o marrón
HP:0012063	característica radiográfica del quiste óseo aneurismático
HP:0030880	síntomas similares a los del fenómeno de raynaud
HP:0100661	neuralgia secundaria del trigémino
HP:0011761	adenoma hipofisario silente
HP:0025452	lesión cutánea que evoluciona a pioderma gangrenoso
HP:0007475	desarrollo posterior de descamación hiperqueratósica a lo largo de las articulaciones y las zonas sensibles a la presión
HP:0011572	anomalía supravalvular del anillo mitral
HP:0011572	deformidad supravalvular del anillo mitral
HP:0100726	neoplasia sistémica con afectación cutánea y visceral
HP:0040313	oligoartritis transitoria
HP:0011610	tronco arterial tipo 4 con derivación significativa
HP:0011608	tronco arterial de tipo ii: las arterias pulmonares se ramifican desde el tronco posterior/lateralmente
HP:0011608	tronco arterial tipo ii: dos orígenes distintos de la arteria pulmonar
HP:0011608	tronco arterial tipo ii: dos orígenes separados de la arteria pulmonar
HP:0011477	nistagmo en la mirada primaria
HP:0025534	"melanocitosis uveal""."
HP:0100673	hidrocele vaginal causante de impalpabilidad testicular
HP:0100726	tumores vasculares debidos al herpesvirus asociado al sarcoma de kaposi
HP:0011372	ausencia de estructuras del oído interno
HP:0000845	acromegalia en adultos
HP:0003344	aciduria 3-hidroxi-3-metilglutárica
HP:0003535	Confirmación de aciduria 3-metilglutacónica en orina
HP:0003535	aciduria 3-metilglutacónica detectada en el análisis de orina
HP:0003344	Diagnóstico de la aciduria 3-metilglutárica
HP:0003161	Diagnóstico de la aciduria 4-hidroxifenilpirúvica
HP:0040278	tumor benigno de la hipófisis
HP:0010603	Tumor benigno uni o multiquístico, intraóseo, de origen odontogénico, con un revestimiento característico de epitelio escamoso estratificado paraqueratinizado y potencial de comportamiento agresivo e infiltrante.
HP:0034303	una onda t bífida con una duración de la muesca entre los 2 picos de al menos 0,04 s y una amplitud de al menos 0,05 mv.
HP:0025190	una convulsión tónico-clónica bilateral con inicio generalizado es un tipo de convulsión tónico-clónica bilateral caracterizada por un inicio generalizado; estas convulsiones comprometen rápidamente las redes de ambos hemisferios al comienzo de la convulsión.
HP:0032227	afección cutánea benigna y frecuente que implica la hipertrofia de las glándulas sebáceas y se caracteriza por lesiones únicas o múltiples que se manifiestan como pápulas amarillas, blandas y pequeñas con umbilicación. las lesiones suelen localizarse en la parte central de la cara, pero también pueden aparecer en otros lugares, como el tórax, la boca, el escroto, el prepucio, el cuerpo del pene, la vulva y la areola.
HP:0001171	Afección en la que faltan las partes medias de la mano, lo que da un aspecto de hendidura. La gravedad es muy variable, desde dedos medios ligeramente hipoplásicos hasta manos oligo o monodáctilas, pasando por la ausencia de dedos medios.
HP:0001015	afección en la que las venas superficiales son más conspicuas o notorias de lo normal.
HP:0032514	anomalía congénita del desarrollo caracterizada por la presencia de dos puntos lagrimales en uno o ambos lados de la cara.
