HP:0000002	Altura corporal anormal
HP:0000005	Herencia
HP:0000008	Anomalía de los genitales internos femeninos
HP:0000009	Mal funcionamiento de la vejiga
HP:0000011	Falta de control de la vejiga debido a una lesión del sistema nervioso
HP:0000015	Divertículos vesicales
HP:0000016	Aumento del volumen de orina residual posmiccional
HP:0000017	Nycturia
HP:0000019	Dificultad para fluir
HP:0000024	Inflamación de la próstata
HP:0000026	Disminución de la función de la gónada masculina
HP:0000027	Ausencia de espermatozoides en el semen
HP:0000029	Degeneración testicular
HP:0000030	Gonadoblastoma, male
HP:0000032	Anomalía de los genitales externos masculinos
HP:0000033	Genitales ambiguos en los varones
HP:0000036	Anomalía del pene
HP:0000042	Ausencia de genitales externos
HP:0000045	Anomalía del escroto
HP:0000047	Hipospadia
HP:0000058	Anomalía de los labios
HP:0000063	Labios internos fusionados
HP:0000064	Labios internos subdesarrollados
HP:0000073	Doble uréter
HP:0000090	nefronoptisis juvenil
HP:0000099	Nefritis glomerular
HP:0000100	Nefrosis
HP:0000103	Aumento de la diuresis
HP:0000118	Anomalía orgánica
HP:0000123	Inflamación renal
HP:0000125	Riñón sacro
HP:0000128	Desperdicio renal de K
HP:0000134	Hipogonadismo femenino
HP:0000135	Disminución de la actividad de las gónadas
HP:0000139	Útero caído
HP:0000141	Ausencia anormal de menstruación
HP:0000142	Malformación vaginal
HP:0000143	Conexión anormal entre el recto y la vagina
HP:0000145	Transverse vaginal membrane
HP:0000148	Vagina anormalmente cerrada o ausente
HP:0000149	Gonadoblastoma, female
HP:0000163	Anomalía de la cavidad oral
HP:0000176	Paladar duro hendido de espesor parcial
HP:0000199	Nódulos linguales
HP:0000216	Crestas alveolares secundarias
HP:0000222	Hiperqueratosis gingival
HP:0000223	Anomalía de la sensación gustativa
HP:0000235	Anomalía de las fontanelas o de las suturas craneales
HP:0000250	Casquete denso
HP:0000263	Acrocefalia
HP:0000273	Facial grimacing
HP:0000295	Aspecto facial de muñeca
HP:0000320	Aspecto facial de pájaro
HP:0000329	Facial hemangiomata
HP:0000371	Infección aguda del oído medio
HP:0000375	Anomalía de la cóclea
HP:0000381	Fijación de estribos
HP:0000388	Infección del oído medio
HP:0000391	Hélice gruesa
HP:0000415	Anomalía de las coanas
HP:0000417	Nariz fina
HP:0000447	Nariz en forma de pera
HP:0000453	Obstrucción de la abertura posterior de la cavidad nasal
HP:0000468	Aumento de grasa alrededor del cuello
HP:0000471	Angiodisplasia gastrointestinal
HP:0000476	Higroma quístico del cuello
HP:0000480	Agujero en la parte posterior del ojo
HP:0000488	Enfermedad no inflamatoria de la retina
HP:0000491	Inflamación de la córnea
HP:0000493	Anomalía de la fóvea
HP:0000525	Anomalía del iris
HP:0000526	Ausencia de iris
HP:0000531	Depósitos corneales
HP:0000532	Anomalía coriorretiniana
HP:0000533	Adelgazamiento coriorretiniano
HP:0000534	Anomalía de la ceja
HP:0000546	Degeneración de la retina
HP:0000547	Degeneración retinotapetal
HP:0000549	Movimientos oculares desconjugados
HP:0000553	Anomalía de la úvea
HP:0000556	Rotura de las células fotosensibles del fondo del ojo
HP:0000557	Agrandamiento del globo ocular
HP:0000565	Volviéndose bizco
HP:0000575	Punto ciego
HP:0000577	Globo ocular orientado hacia el exterior
HP:0000585	Queratopatía calcificante en banda
HP:0000590	Oftalmoplejía externa, progresiva
HP:0000605	Parálisis supranuclear de la mirada
HP:0000608	Degeneración macular pigmentada
HP:0000614	Anomalía del sistema nasolagrimal
HP:0000619	Insuficiencia de convergencia
HP:0000622	Visión borrosa
HP:0000627	Embriotoxona
HP:0000631	Tortuosidad de la arteria retiniana
HP:0000632	Producción anormal de lágrimas
HP:0000635	Ojos azules
HP:0000639	Movimientos oculares involuntarios, rápidos y rítmicos
HP:0000647	Endurecimiento de la piel y del tejido conjuntivo
HP:0000651	Visión doble
HP:0000658	Dificultad para abrir los párpados
HP:0000666	Nistagmo horizontal
HP:0000709	Psicosis
HP:0000713	Agitación psicomotriz
HP:0000717	Autismo
HP:0000721	Falta de juego espontáneo
HP:0000725	Episodios psicóticos
HP:0000743	Reflejos de liberación frontal
HP:0000744	Intolerancia a la frustración
HP:0000746	Delirios
HP:0000748	Risas inapropiadas
HP:0000749	Risa paroxística
HP:0000756	Miedo a los espacios abiertos
HP:0000767	Embudo de pecho
HP:0000768	Pecho de paloma
HP:0000769	Anomalía de la mama
HP:0000776	Hernia diafragmática
HP:0000777	Anomalía del timo
HP:0000782	Anomalía del omóplato
HP:0000789	Infertilidad
HP:0000794	Nefropatía IgA
HP:0000795	Problema de la uretra
HP:0000799	Riñón graso
HP:0000803	Quistes corticales
HP:0000807	Hipospadias balánico
HP:0000811	Genitales externos anormales
HP:0000812	Genitales internos anormales
HP:0000817	Mal contacto visual
HP:0000818	Enfermedad del sistema endocrino
HP:0000828	Enfermedad paratiroidea
HP:0000836	Tiroides hiperactiva
HP:0000841	Aumento de la actividad de la renina plasmática
HP:0000842	Nivel elevado de insulina
HP:0000843	Nivel elevado de hormona paratiroidea en sangre
HP:0000846	Hipoadrenalismo
HP:0000847	Anomalía del eje renina-aldosterona
HP:0000855	El cuerpo no responde a la insulina
HP:0000863	Diabetes insípida neurohipofisaria
HP:0000866	Bocio multinodular eutiroideo
HP:0000869	Parada de menstruaciones anteriores
HP:0000875	Hipertensión arterial intermitente
HP:0000876	Menstruaciones ligeras o poco frecuentes
