id,projectId,timestamp,tags,bookmarked,name,release,version,userId,environment,sessionId,public,input,output,metadata,latency,usage,inputCost,outputCost,totalCost,level,errorCount,warningCount,defaultCount,debugCount,observationCount,inputTokens,outputTokens,totalTokens,r_recall,f1,jaccard_similarity,precision,r_precision,recall,semantic similarity
"9c0cfaaf-7a43-44fa-b903-d41d454eb56e","cm9vlvsif0006pf07xcychmbe","2025-04-26T08:57:12.198Z","[]","false","rawgptchain","","","","default","","false","{""clinical_note"":""Un hombre de 44 años con obesidad mórbida e índice de masa corporal (IMC 63) se sometió a una gastrectomía en manga para perder peso y se le encontraron múltiples pólipos adenomatosos de la glándula fúndica en la patología final. El estudio posterior incluyó una esofagogastroduodenoscopia que reveló innumerables pólipos en el resto del fondo y cuerpo gástricos, compatibles con pólipos de glándula fúndica, duodeno normal sin pólipos y esófago de Barrett. La colonoscopia fue significativa para innumerables pólipos de diversos tamaños de hasta 1,5 cm en todo el colon, con relativa preservación rectal. Las biopsias fueron compatibles con adenoma tubular y pólipos hiperplásicos. La ecografía tiroidea estaba dentro de los límites normales y el TAC abdominal era significativo para una masa mesentérica de 3,4 cm en el lado izquierdo que representaba una cicatrización frente a un posible desmoide. Los antecedentes familiares eran significativos para el cáncer de colon diagnosticado en su abuelo materno a los 72 años, su abuela paterna que murió de cáncer metastásico a los 50 años con tumor primario desconocido y su madre diagnosticada de cáncer de tiroides a los 40 años. La exploración física destacaba por obesidad mórbida (IMC 45), exploración cardiopulmonar dentro de límites normales y abdomen con cicatrices quirúrgicas bien curadas de una gastrectomía en manga previa.""}","{""final_answer"":[""HP:0011642"",""HP:0100750"",""HP:0002577"",""HP:0002032"",""HP:0100751"",""HP:0030851"",""HP:0010298"",""HP:0004398"",""HP:0002659""],""descriptions"":[""Morbid obesity"",""Fundic gland polyps"",""Gastric polyp"",""Barrett esophagus"",""Colonic polyps"",""Colonic tubular adenoma"",""Colonic hyperplastic polyps"",""Abdominal mass"",""Desmoid tumor""]}","{""dataset_item_id"":""2f54d819-bd91-4d92-b8d9-6c1b59b2d9d3"",""run_name"":""2025-04-26_10-57-12"",""dataset_id"":""cm9x2lny4006opf06hn2ztw33""}","37.856","{""promptTokens"":619,""completionTokens"":3649,""totalTokens"":4268}","0.0006809","0.0005676","0.0167365","DEFAULT","0","0","5","0","5","619","3649","4268","","","","","","","[0.15085413729811528]"
"0651181d-f96c-44ae-b9eb-4af587c3bf9f","cm9vlvsif0006pf07xcychmbe","2025-04-26T08:57:12.166Z","[]","false","rawgptchain","","","","default","","false","{""clinical_note"":""El síndrome de Prader-Willi (SPW) y el síndrome de Angelman (SA) son trastornos neuroconductuales distintos que surgen con mayor frecuencia de una deleción de 4-Mb del cromosoma 15q11-q13 durante la gametogénesis paterna o materna, respectivamente. Con una frecuencia de novo de aproximadamente 0,67-1/10.000 nacimientos, estas deleciones representan un cambio cromosómico estructural común en el genoma humano. Para dilucidar el mecanismo subyacente a estos eventos, caracterizamos las regiones que contienen dos grupos de puntos de ruptura proximales y un grupo distal. Se clonaron posicionalmente nuevas secuencias de ADN potencialmente asociadas a los puntos de rotura a partir de YACs situados dentro o cerca de estas regiones. Los análisis de híbridos de células somáticas roedor-humano, contigs YAC y FISH de cromosomas normales o reordenados 15 identificaron secuencias duplicadas (las repeticiones END) en o cerca de los puntos de rotura. Las unidades de repetición END se derivan de grandes duplicaciones genómicas de un nuevo gen (HERC2), muchas de cuyas copias son transcripcionalmente activas en los tejidos de la línea germinal. Uno de los cinco pacientes con SPW/EA analizados hasta la fecha tiene una transcripción HERC2 identificable y reordenada derivada del evento de deleción. Postulamos que las repeticiones END que flanquean 15q11-q13 median en la recombinación homóloga que resulta en la deleción. Además, proponemos que la transcripción activa de estas repeticiones en células germinales masculinas y femeninas puede facilitar el proceso de recombinación homóloga.""}","{""final_answer"":[""HP:0000750"",""HP:0001250""],""descriptions"":[""Síndrome de Prader-Willi"",""Síndrome de Angelman""]}","{""dataset_item_id"":""245d4322-cb95-4f5e-b807-17d1e0f3ec96"",""run_name"":""2025-04-26_10-57-12"",""dataset_id"":""cm9x2lny4006opf06hn2ztw33""}","5.378","{""promptTokens"":666,""completionTokens"":374,""totalTokens"":1040}","0.0007326","0.0002376","0.0023782","DEFAULT","0","0","5","0","5","666","374","1040","","","","","","","[0.01526839747682665]"
"36bec076-ba19-417d-a690-90833c904adb","cm9vlvsif0006pf07xcychmbe","2025-04-26T08:57:12.163Z","[]","false","rawgptchain","","","","default","","false","{""clinical_note"":""Se presentan quince pacientes con neuromas acústicos bilaterales. Diez pacientes presentaron síntomas antes de los 21 años, y 9 de ellos desarrollaron tumores adicionales del sistema nervioso central. Muchos de los pacientes no presentaban manifestaciones cutáneas de neurofibromatosis ni antecedentes familiares positivos de este trastorno. La mayoría de los pacientes requirieron múltiples procedimientos quirúrgicos, y se informa del momento, las técnicas y los resultados de estas operaciones. Se discute la patogénesis de estos tumores, los aspectos genéticos de este trastorno y las posibles alternativas de tratamiento.""}","{""final_answer"":[""HP:0007025"",""HP:0011460"",""HP:0004378""],""descriptions"":[""Bilateral vestibular schwannoma"",""Juvenile onset"",""Central nervous system neoplasm""]}","{""dataset_item_id"":""f79de100-3531-47d8-93ef-1b747fbc1029"",""run_name"":""2025-04-26_10-57-12"",""dataset_id"":""cm9x2lny4006opf06hn2ztw33""}","10.795","{""promptTokens"":411,""completionTokens"":1473,""totalTokens"":1884}","0.0004521","0.000286","0.0069333","DEFAULT","0","0","5","0","5","411","1473","1884","","","","","","","[-1]"
"b154bcd6-5ba1-44ad-8f24-5455aa77394c","cm9vlvsif0006pf07xcychmbe","2025-04-26T08:57:12.160Z","[]","false","rawgptchain","","","","default","","false","{""clinical_note"":""El síndrome de Townes-Brocks (STB) es una enfermedad que cursa con ano imperforado, anomalías de las manos y malformaciones del oído con pérdida auditiva neurosensorial. Muchos casos son esporádicos. Dentro de una misma familia y entre familias, el fenotipo muestra una sorprendente variabilidad. Recientemente, se ha identificado el gen causante de la TBS: SALL1, un factor de transcripción con dedos de zinc. Aquí presentamos el caso de una familia de tres generaciones con siete individuos afectados que presentan una nueva mutación en SALL1. Las anomalías cardiacas únicas observadas en esta familia incluyen tronco arterial letal en un paciente y un defecto complicado letal, que incluye atresia de la válvula pulmonar, en un segundo paciente. Estas graves anomalías cardiacas no se habían descrito previamente en un caso familiar de TBS. Esta familia y una revisión de la literatura indican que la evaluación cardiaca está justificada en todos los individuos con este trastorno. Además, se observaron pulgares hipoplásicos en dos individuos de esta familia y, por lo tanto, deben considerarse una verdadera característica del TBS.""}","{""final_answer"":[""HP:0005272"",""HP:0008553"",""HP:0000407"",""HP:0009785"",""HP:0001631"",""HP:0001673""],""descriptions"":[""Imperforate anus"",""Malformed ear"",""Sensorineural hearing impairment"",""Thumb hypoplasia"",""Persistent truncus arteriosus"",""Pulmonary valve atresia""]}","{""dataset_item_id"":""a46f4812-f3aa-47b4-8e54-802e49afdcc8"",""run_name"":""2025-04-26_10-57-12"",""dataset_id"":""cm9x2lny4006opf06hn2ztw33""}","9.751","{""promptTokens"":532,""completionTokens"":801,""totalTokens"":1333}","0.0005852","0.0004268","0.0041096","DEFAULT","0","0","5","0","5","532","801","1333","","[0.12]","[0.0625]","[0.16666666666666666]","","[0.09090909090909091]","[-1]"
"bd05c1a6-4615-4209-80fb-a0e6ba6f631d","cm9vlvsif0006pf07xcychmbe","2025-04-26T08:23:11.963Z","[]","false","rawgptchain","","","","default","","false","{""clinical_note"":""El síndrome de Prader-Willi (SPW) y el síndrome de Angelman (SA) son trastornos neuroconductuales distintos que surgen con mayor frecuencia de una deleción de 4-Mb del cromosoma 15q11-q13 durante la gametogénesis paterna o materna, respectivamente. Con una frecuencia de novo de aproximadamente 0,67-1/10.000 nacimientos, estas deleciones representan un cambio cromosómico estructural común en el genoma humano. Para dilucidar el mecanismo subyacente a estos eventos, caracterizamos las regiones que contienen dos grupos de puntos de ruptura proximales y un grupo distal. Se clonaron posicionalmente nuevas secuencias de ADN potencialmente asociadas a los puntos de rotura a partir de YACs situados dentro o cerca de estas regiones. Los análisis de híbridos de células somáticas roedor-humano, contigs YAC y FISH de cromosomas normales o reordenados 15 identificaron secuencias duplicadas (las repeticiones END) en o cerca de los puntos de rotura. Las unidades de repetición END se derivan de grandes duplicaciones genómicas de un nuevo gen (HERC2), muchas de cuyas copias son transcripcionalmente activas en los tejidos de la línea germinal. Uno de los cinco pacientes con SPW/EA analizados hasta la fecha tiene una transcripción HERC2 identificable y reordenada derivada del evento de deleción. Postulamos que las repeticiones END que flanquean 15q11-q13 median en la recombinación homóloga que resulta en la deleción. Además, proponemos que la transcripción activa de estas repeticiones en células germinales masculinas y femeninas puede facilitar el proceso de recombinación homóloga.""}","{""final_answer"":[""HP:0000750"",""HP:0001250""],""descriptions"":[""Prader-Willi syndrome"",""Angelman syndrome""]}","{""dataset_item_id"":""b6082e8d-de05-4280-b94b-fea4bf75f0ef"",""run_name"":""2025-04-26_10-10-06"",""dataset_id"":""cm9xwlj4n015vpf06u8x2xkjn""}","9.764","{""promptTokens"":666,""completionTokens"":1010,""totalTokens"":1676}","0.0007326","0.00022","0.0051766","DEFAULT","0","0","5","0","5","666","1010","1676","","","","","","","[0.01526839747682665]"
"aaa63e75-f187-48c5-b73d-a0e6367b1b7c","cm9vlvsif0006pf07xcychmbe","2025-04-26T08:23:11.310Z","[]","false","rawgptchain","","","","default","","false","{""clinical_note"":""No se observaron diferencias en la supervivencia entre células cultivadas de pacientes con síndrome de nevus basocelular (BCNS) y controles normales tras la exposición de fibroblastos a radiaciones ionizantes. La reparación del daño letal potencial en las células BCNS, medida mediante experimentos de retención, tampoco fue diferente de la normal. Se observó que los linfocitos irradiados en G0 de pacientes con BCNS presentaban un nivel significativamente mayor de aberraciones cromosómicas inducidas por rayos X en comparación con los normales. Sin embargo, este aumento es pequeño y, junto con los datos de supervivencia, sugiere que el aumento de la destrucción celular como medida de la radiosensibilidad clínica inusual no es el principal efecto del gen BCNS.""}","{""final_answer"":[""HP:0003006"",""HP:0001871""],""descriptions"":[""Nevoid basal cell carcinoma syndrome"",""Chromosomal aberration""]}","{""dataset_item_id"":""e3f90633-7c0c-46e8-922a-2dc5dfd7f141"",""run_name"":""2025-04-26_10-10-06"",""dataset_id"":""cm9xwlj4n015vpf06u8x2xkjn""}","8.441","{""promptTokens"":447,""completionTokens"":1076,""totalTokens"":1523}","0.0004917","0.0002288","0.0052261","DEFAULT","0","0","5","0","5","447","1076","1523","","","","","","","[0.03934160901860794]"
"2ebbe064-3305-462b-8ba6-3c02bcf0372d","cm9vlvsif0006pf07xcychmbe","2025-04-26T08:23:01.587Z","[]","false","rawgptchain","","","","default","","false","{""clinical_note"":""Se presentan quince pacientes con neuromas acústicos bilaterales. Diez pacientes presentaron síntomas antes de los 21 años, y 9 de ellos desarrollaron tumores adicionales del sistema nervioso central. Muchos de los pacientes no presentaban manifestaciones cutáneas de neurofibromatosis ni antecedentes familiares positivos de este trastorno. La mayoría de los pacientes requirieron múltiples procedimientos quirúrgicos, y se informa del momento, las técnicas y los resultados de estas operaciones. Se discute la patogénesis de estos tumores, los aspectos genéticos de este trastorno y las posibles alternativas de tratamiento.""}","{""final_answer"":[""HP:0004375"",""HP:0010784"",""HP:0002354"",""HP:0003593""],""descriptions"":[""Bilateral acoustic neuroma"",""Central nervous system tumor"",""Multiple tumors"",""Juvenile onset""]}","{""dataset_item_id"":""9aa3e89a-fc3e-4be8-8243-65150386b2cf"",""run_name"":""2025-04-26_10-10-06"",""dataset_id"":""cm9xwlj4n015vpf06u8x2xkjn""}","12.86","{""promptTokens"":411,""completionTokens"":1159,""totalTokens"":1570}","0.0004521","0.0003124","0.0055517","DEFAULT","0","0","5","0","5","411","1159","1570","","[0.2]","[0.1111111111111111]","[0.25]","","[0.16666666666666666]","[0.172170733390638]"
"a341feeb-0d32-4fa0-b156-d8000d8a7cdb","cm9vlvsif0006pf07xcychmbe","2025-04-26T08:22:57.269Z","[]","false","rawgptchain","","","","default","","false","{""clinical_note"":""El síndrome del carcinoma basocelular nevoide (CCBN) es una enfermedad hereditaria que se transmite como un rasgo autosómico dominante con penetrancia completa y expresividad variable. El síndrome se caracteriza por numerosos carcinomas de células basales (CCB), queratoquistes odontogénicos de los maxilares, fóveas palmares y/o plantares, anomalías esqueléticas y calcificaciones intracraneales. En este artículo se revisan las características clínicas de 37 pacientes italianos. Los quistes mandibulares y la calcificación del falx cerebri fueron las anomalías observadas con mayor frecuencia, seguidas de los CBC y las fosas palmar/plantar. Al igual que en el caso de los afroamericanos, la frecuencia relativamente baja de CBC en la población italiana se debe probablemente a la pigmentación protectora de la piel. Una futura búsqueda basada en el cribado de mutaciones podría establecer una posible correlación genotipo-fenotipo en pacientes italianos.""}","{""final_answer"":[""HP:0001434"",""HP:0009681"",""HP:0006410"",""HP:0007629"",""HP:0007628"",""HP:0002473"",""HP:0002171""],""descriptions"":[""Nevoid basal cell carcinoma syndrome"",""Basal cell carcinoma"",""Jaw keratocyst"",""Palmar pitting"",""Plantar pitting"",""Intracranial calcification"",""Calcification of falx cerebri""]}","{""dataset_item_id"":""bce87c89-5522-4146-bb9a-9ae34d33989e"",""run_name"":""2025-04-26_10-10-06"",""dataset_id"":""cm9xwlj4n015vpf06u8x2xkjn""}","14.644","{""promptTokens"":492,""completionTokens"":1330,""totalTokens"":1822}","0.0005412","0.0005016","0.0063932","DEFAULT","0","0","5","0","5","492","1330","1822","","","","","","","[-1]"
"2a1f7dfa-767c-465f-a2d9-1bc95747e6fc","cm9vlvsif0006pf07xcychmbe","2025-04-26T08:22:56.892Z","[]","false","rawgptchain","","","","default","","false","{""clinical_note"":""El síndrome de Townes-Brocks (STB) es una enfermedad que cursa con ano imperforado, anomalías de las manos y malformaciones del oído con pérdida auditiva neurosensorial. Muchos casos son esporádicos. Dentro de una misma familia y entre familias, el fenotipo muestra una sorprendente variabilidad. Recientemente, se ha identificado el gen causante de la TBS: SALL1, un factor de transcripción con dedos de zinc. Aquí presentamos el caso de una familia de tres generaciones con siete individuos afectados que presentan una nueva mutación en SALL1. Las anomalías cardiacas únicas observadas en esta familia incluyen tronco arterial letal en un paciente y un defecto complicado letal, que incluye atresia de la válvula pulmonar, en un segundo paciente. Estas graves anomalías cardiacas no se habían descrito previamente en un caso familiar de TBS. Esta familia y una revisión de la literatura indican que la evaluación cardiaca está justificada en todos los individuos con este trastorno. Además, se observaron pulgares hipoplásicos en dos individuos de esta familia y, por lo tanto, deben considerarse una verdadera característica del TBS.""}","{""final_answer"":[""HP:0002022"",""HP:0009234"",""HP:0000361"",""HP:0000407"",""HP:0001645"",""HP:0002616""],""descriptions"":[""Imperforate anus"",""Thumb hypoplasia"",""Abnormality of the pinna"",""Sensorineural hearing impairment"",""Persistent truncus arteriosus"",""Pulmonary atresia""]}","{""dataset_item_id"":""d24c050f-e6e5-4c87-9ac4-44774fc4cd87"",""run_name"":""2025-04-26_10-10-06"",""dataset_id"":""cm9xwlj4n015vpf06u8x2xkjn""}","14.405","{""promptTokens"":532,""completionTokens"":1573,""totalTokens"":2105}","0.0005852","0.0004444","0.0075064","DEFAULT","0","0","5","0","5","532","1573","2105","","[0.12]","[0.0625]","[0.16666666666666666]","","[0.09090909090909091]","[-1]"
"5d3d4994-1b20-4504-bab9-51a0e0f0a700","cm9vlvsif0006pf07xcychmbe","2025-04-26T08:22:55.260Z","[]","false","rawgptchain","","","","default","","false","{""clinical_note"":""Describimos 47 pacientes con síndrome de Angelman (SA) de Bélgica y los Países Bajos, incluyendo los datos anamnésicos, la clínica y los atributos conductuales a diferentes edades. El cuadro clínico del SA es más claro entre los 2 y los 16 años. La mayoría de los pacientes de este grupo de edad presentan al menos 8 de las características principales (explosiones de risa, disposición alegre, comportamiento hiperactivo, microcefalia, braquicefalia, macrostomía, protrusión lingual, prognatismo mandibular, dientes muy separados, movimientos rígidos y similares a los de una marioneta, estatura típica, marcha ancha), además de retraso mental y (casi) ausencia de habla, que es un rasgo universal. El diagnóstico en los lactantes se basa únicamente en un número limitado de características clínicas o en datos anamnésicos. Sin embargo, si se dan en combinación, son indicativos de SA. En los pacientes de más edad, el diagnóstico puede verse dificultado en parte por el cambio de las características conductuales y la disminución de la frecuencia de las crisis. Otras manifestaciones, como la escoliosis, pueden acentuarse con la edad.""}","{""final_answer"":[""HP:0002129"",""HP:0010852"",""HP:0000752"",""HP:0000252"",""HP:0000248"",""HP:0000303"",""HP:0000821"",""HP:0000311"",""HP:0000665"",""HP:0002169"",""HP:0001250"",""HP:0002650"",""HP:0001249"",""HP:0001344"",""HP:0003390"",""HP:0002070""],""descriptions"":[""Inappropriate laughter"",""Happy demeanor"",""Hyperactivity"",""Microcephaly"",""Brachycephaly"",""Macrostomia"",""Protruding tongue"",""Mandibular prognathism"",""Increased tooth spacing"",""Broad-based gait"",""Seizures"",""Scoliosis"",""Intellectual disability"",""Absent speech"",""Spasticity"",""Choreoathetosis""]}","{""dataset_item_id"":""11b9100d-6149-4dc4-9adc-f1688ed9cc8a"",""run_name"":""2025-04-26_10-10-06"",""dataset_id"":""cm9xwlj4n015vpf06u8x2xkjn""}","30.235","{""promptTokens"":543,""completionTokens"":1859,""totalTokens"":2402}","0.0005973","0.000858","0.0087769","DEFAULT","0","0","5","0","5","543","1859","2402","","[0.41]","[0.2608695652173913]","[0.375]","","[0.46153846153846156]","[-1]"
